Id,Content
1001,欢迎你，经理！你来得正是时候。
1002,新的赛季马上就要开始了，你明白自己为什么来这儿吗？
1003,先生们，我来这里是为了...
1004,联赛冠军！
1005,保住球队级别！
1006,很好！就是这个精神！
1007,你很务实，我非常欣赏你！
1008,我说什么来着，那个被我开掉的前任经理真是毫无进取心！
1009,我说什么来着，那个被我开掉的前任经理总是满嘴跑火车！
1010,你不会让我失望的，对吗？现在去狠狠地训练那帮小伙子吧，让他们知道你的厉害！
1011,我们现在需要好好打下基础，你一定能办得到。现在去狠狠地训练那帮小伙子吧，让他们知道你的厉害！
1012,大家好，我是俱乐部新任的经理兼教练。我很高兴回答大家的任何问题。
1013,教练，你之前有什么代表性的荣誉吗？
1014,三好学生
1015,中职联常规赛最佳球员
1016,年度最佳教练
1017,就这？
1018,不错嘛！
1019,我怎么听说你在这儿是第一次执教？
1020,那你准备怎么带我们？
1021,我看过你们之前的录像。我们的传球组织能力较差，篮下防守薄弱，因此我们需要……
1022,Zzzzzz……
1023,不认真听的人将失去这周的薪水！
1024,来来来，教练你来当，反正我们的排名还能再掉掉！
1025,谁能重复我刚才说的话，奖励两周的周薪！
1026,算了吧，反正也没多少钱……
1027,对不起教练，我们知道错了……
1028,我们的传球组织能力较差，篮下防守薄弱……
1029,我已经分析了全队情况，大家对接下来要用的首发战术有什么看法？
1030,全凭教练定夺！
1031,我觉得联合防守、挡拆进攻比较适合我们的队伍。
1032,我觉得外紧逼防守、跑轰进攻比较适合我们的队伍。
1033,我觉得内线防守、内线进攻比较适合我们的队伍。
1034,我觉得混合防守、挡拆进攻比较适合我们的队伍。
1035,说得没错！我们正想试试这个阵型！
